date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-04-07,37.28,37.68,37.09,37.58,1225226.0,24190280.0,180000000.0,0.006806811111111111
2020-04-08,37.34,37.7,37.24,37.6,638089.0,12581274.0,180000000.0,0.003544938888888889
2020-04-09,37.79,37.79,37.47,37.6,545819.0,10806336.0,180000000.0,0.003032327777777778
2020-04-10,37.58,37.58,36.96,37.09,711396.0,13920905.0,180000000.0,0.0039522
2020-04-13,37.3,38.51,37.15,38.23,1538756.0,30853726.0,180000000.0,0.008548644444444444
2020-04-14,37.98,38.3,37.74,38.23,907360.0,18160828.0,180000000.0,0.005040888888888889
2020-04-15,38.36,38.36,37.77,38.0,725000.0,14516952.0,180000000.0,0.004027777777777778
2020-04-16,37.87,38.36,37.6,38.27,851539.0,17078258.0,180000000.0,0.004730772222222222
2020-04-17,38.13,38.8,38.11,38.32,767213.0,15545291.0,180000000.0,0.004262294444444445
2020-04-20,38.32,39.6,38.32,39.5,1628188.0,33629608.0,180000000.0,0.009045488888888889
2020-04-21,39.31,39.84,38.93,39.79,1242806.0,25753715.0,180000000.0,0.006904477777777778
2020-04-22,37.03,37.18,36.01,36.63,5049568.0,97057837.0,180000000.0,0.028053155555555556
2020-04-23,36.27,36.29,35.63,35.76,2267792.0,42886920.0,180000000.0,0.012598844444444444
2020-04-24,35.17,35.76,35.17,35.3,1351320.0,25141267.0,180000000.0,0.007507333333333334
2020-04-27,35.32,35.42,34.41,34.47,1459865.0,26798687.0,180000000.0,0.008110361111111112
2020-04-28,34.62,34.64,32.78,33.27,1616806.0,28496707.0,180000000.0,0.008982255555555556
2020-04-29,33.33,33.77,33.1,33.5,660685.0,11675294.0,180000000.0,0.003670472222222222
2020-04-30,33.6,34.07,33.5,33.9,716756.0,12777656.0,180000000.0,0.003981977777777778
2020-05-06,33.58,34.13,33.29,34.11,850038.0,15100881.0,180000000.0,0.004722433333333333
2020-05-07,34.01,34.53,33.9,34.35,833020.0,15050529.0,180000000.0,0.004627888888888889
2020-05-08,34.37,34.53,34.13,34.37,657756.0,11890608.0,180000000.0,0.0036542
2020-05-11,34.37,34.53,33.67,33.82,1037270.0,18635527.0,180000000.0,0.005762611111111111
2020-05-12,33.82,34.13,33.56,33.82,465111.0,8273429.0,180000000.0,0.00258395
2020-05-13,33.86,34.07,33.58,34.03,595795.0,10640755.0,180000000.0,0.0033099722222222224
2020-05-14,33.99,34.03,33.69,33.75,538380.0,9579202.0,180000000.0,0.002991
2020-05-15,33.75,34.11,33.63,33.75,499200.0,8896579.0,180000000.0,0.0027733333333333334
2020-05-18,33.92,34.6,33.37,34.51,1686500.0,30183320.0,180000000.0,0.009369444444444444
2020-05-19,34.51,34.68,34.05,34.16,1100048.0,19840863.0,180000000.0,0.006111377777777777
2020-05-20,34.28,34.28,33.61,33.78,1047746.0,18670537.0,180000000.0,0.005820811111111111
2020-05-21,33.71,33.99,33.39,33.42,733369.0,12986919.0,180000000.0,0.004074272222222222
2020-05-22,33.29,34.22,33.1,33.69,1401140.0,24744619.0,180000000.0,0.0077841111111111114
2020-05-25,33.54,34.09,33.35,33.9,869673.0,15459676.0,180000000.0,0.004831516666666666
2020-05-26,34.16,34.34,33.9,34.24,951700.0,17097775.0,180000000.0,0.005287222222222222
2020-05-27,34.26,34.72,34.15,34.24,999322.0,18108069.0,180000000.0,0.005551788888888889
2020-05-28,34.3,34.64,33.96,34.35,643585.0,11614672.0,180000000.0,0.003575472222222222
2020-05-29,34.35,34.56,34.09,34.49,782440.0,14184511.0,180000000.0,0.004346888888888889
2020-06-01,34.49,34.94,34.47,34.91,1226038.0,22443483.0,180000000.0,0.006811322222222222
2020-06-02,34.92,35.29,34.79,35.21,1579355.0,29103429.0,180000000.0,0.008774194444444444
2020-06-03,35.21,35.23,34.56,34.72,1468500.0,26009953.0,180000000.0,0.008158333333333333
2020-06-04,34.72,34.9,34.62,34.8,630505.0,11171543.0,180000000.0,0.0035028055555555554
2020-06-05,34.8,34.97,34.66,34.76,487620.0,8633432.0,180000000.0,0.002709
2020-06-08,34.93,34.93,34.7,34.72,593248.0,10513068.0,180000000.0,0.0032958222222222223
2020-06-09,34.72,34.84,34.54,34.8,467547.0,8269542.0,180000000.0,0.0025974833333333334
2020-06-10,34.7,34.74,34.42,34.46,710240.0,12514420.0,180000000.0,0.003945777777777778
2020-06-11,34.46,34.66,34.25,34.27,547200.0,9605978.0,180000000.0,0.00304
2020-06-12,33.89,34.23,33.58,34.05,513826.0,8878250.0,180000000.0,0.002854588888888889
2020-06-15,33.99,34.19,33.84,33.86,470120.0,8149800.0,180000000.0,0.002611777777777778
2020-06-16,33.95,34.5,33.93,34.5,652528.0,11378495.0,180000000.0,0.0036251555555555557
2020-06-17,34.44,34.7,34.35,34.68,839548.0,14785737.0,180000000.0,0.004664155555555555
2020-06-18,34.68,34.68,34.35,34.46,507740.0,8920307.0,180000000.0,0.002820777777777778
2020-06-19,34.56,34.8,34.35,34.42,837720.0,14751274.0,180000000.0,0.004654
2020-06-22,34.52,34.66,34.23,34.48,918980.0,16135005.0,180000000.0,0.005105444444444445
2020-06-23,34.35,34.64,34.29,34.52,567635.0,9965768.0,180000000.0,0.0031535277777777777
2020-06-24,34.54,34.64,34.33,34.5,666300.0,11686215.0,180000000.0,0.0037016666666666665
2020-06-29,34.52,34.64,34.19,34.38,724779.0,12704970.0,180000000.0,0.00402655
2020-06-30,34.38,35.03,34.33,34.86,1323116.0,23378835.0,180000000.0,0.007350644444444445
2020-07-01,34.88,35.13,34.6,35.05,1325257.0,23559716.0,180000000.0,0.007362538888888889
2020-07-02,35.11,35.43,34.93,35.15,1313191.0,23483201.0,180000000.0,0.007295505555555555
2020-07-03,35.31,35.66,35.13,35.58,1355460.0,24454070.0,180000000.0,0.007530333333333333
