date,open,high,low,close,volume,hold,settle
2024-01-15,5360.2,5433.2,5331.6,5360.2,11758,77267,0.0
2024-01-16,5357.0,5378.0,5252.0,5333.2,15873,79102,0.0
2024-01-17,5313.2,5321.8,5093.2,5124.2,17029,80944,0.0
2024-01-18,5100.0,5147.6,4894.0,5123.8,31669,84025,0.0
2024-01-19,5105.0,5146.8,5050.0,5079.4,23185,84316,0.0
2024-01-22,5062.2,5080.0,4588.6,4619.8,37782,84518,0.0
2024-01-23,4600.0,4890.0,4581.2,4830.2,39234,81761,0.0
2024-01-24,4879.0,4950.0,4651.2,4930.4,39369,79866,0.0
2024-01-25,4921.0,5169.8,4885.0,5162.0,32023,79137,0.0
2024-01-26,5154.0,5169.6,5031.0,5060.0,26665,79377,0.0
2024-01-29,5099.0,5117.8,4887.2,4896.2,24676,79552,0.0
2024-01-30,4861.0,4920.8,4705.0,4726.4,27158,79175,0.0
2024-01-31,4698.0,4756.2,4515.0,4544.0,39764,79235,0.0
2024-02-01,4519.2,4714.4,4473.2,4521.4,40068,80010,0.0
2024-02-02,4560.0,4617.0,4150.0,4323.0,49153,80142,0.0
2024-02-05,4280.0,4280.0,3872.0,3922.6,61294,78634,0.0
2024-02-06,3900.0,4454.0,3889.2,4454.0,59906,77287,0.0
2024-02-07,4474.0,4753.8,4466.2,4715.0,63227,76475,0.0
2024-02-08,4769.2,5008.8,4768.0,4887.0,69515,81638,0.0
2024-02-19,4988.0,5033.8,4733.8,4842.8,45529,84030,0.0
2024-02-20,4828.8,4915.0,4754.0,4873.2,33785,80150,0.0
2024-02-21,4823.0,5110.0,4823.0,4887.2,50656,86840,0.0
2024-02-22,4899.2,5030.0,4899.2,5010.8,40587,81448,0.0
2024-02-23,5030.6,5102.6,4957.4,5102.2,38749,82404,0.0
2024-02-26,5115.2,5186.8,5049.2,5102.6,40020,81928,0.0
2024-02-27,5093.4,5277.8,5068.2,5271.0,40618,85048,0.0
2024-02-28,5288.8,5350.0,4985.0,5000.0,64860,89584,0.0
2024-02-29,4990.0,5224.0,4988.0,5215.2,56743,88865,0.0
2024-03-01,5223.0,5285.2,5173.4,5277.0,40692,84945,0.0
2024-03-04,5294.8,5302.0,5169.4,5260.6,38052,86845,0.0
2024-03-05,5230.0,5245.8,5160.0,5183.8,36016,87136,0.0
2024-03-06,5170.2,5289.0,5154.2,5215.2,40469,90581,0.0
2024-03-07,5223.6,5287.6,5142.6,5149.2,39749,89696,0.0
2024-03-08,5173.0,5246.0,5123.0,5216.0,36207,91193,0.0
2024-03-11,5204.0,5322.0,5183.8,5319.6,35167,92010,0.0
2024-03-12,5328.2,5390.0,5293.2,5352.0,43573,96037,0.0
2024-03-13,5352.0,5428.8,5325.2,5380.0,40444,96078,0.0
2024-03-14,5377.0,5408.0,5283.4,5344.2,46427,102160,0.0
2024-03-15,5330.0,5441.6,5302.6,5440.0,48152,100865,0.0
2024-03-18,5460.0,5553.6,5415.4,5550.8,44412,102787,0.0
2024-03-19,5528.8,5551.8,5483.2,5495.2,39895,99641,0.0
2024-03-20,5500.2,5559.8,5482.0,5539.0,38940,100823,0.0
2024-03-21,5562.2,5587.8,5508.2,5540.0,39125,98490,0.0
2024-03-22,5533.0,5542.0,5428.0,5466.6,48512,103538,0.0
2024-03-25,5452.0,5481.6,5325.2,5337.0,45896,99330,0.0
2024-03-26,5350.0,5371.8,5270.4,5304.2,50027,104937,0.0
2024-03-27,5302.0,5305.2,5116.0,5121.4,49269,100476,0.0
2024-03-28,5132.0,5310.0,5131.4,5249.0,56610,104699,0.0
2024-03-29,5255.0,5319.0,5197.6,5308.0,44878,98158,0.0
2024-04-01,5330.0,5462.4,5330.0,5446.2,38262,100572,0.0
2024-04-02,5452.0,5452.0,5367.0,5414.2,37701,97889,0.0
2024-04-03,5404.8,5410.4,5325.8,5374.4,35205,98982,0.0
2024-04-08,5359.6,5359.8,5236.4,5241.8,38012,98366,0.0
2024-04-09,5251.0,5328.8,5238.2,5322.4,39921,102095,0.0
2024-04-10,5306.4,5314.2,5176.4,5218.0,47508,101649,0.0
2024-04-11,5190.0,5310.0,5178.0,5235.6,49573,106644,0.0
2024-04-12,5245.8,5273.8,5171.2,5183.8,42393,103321,0.0
2024-04-15,5170.0,5218.2,5038.2,5120.0,67238,112448,0.0
2024-04-16,5097.0,5126.2,4905.0,4917.2,71003,110752,0.0
2024-04-17,4980.0,5163.0,4980.0,5157.4,72196,113725,0.0
2024-04-18,5135.0,5226.0,5086.0,5165.6,64063,111060,0.0
2024-04-19,5136.0,5192.4,5078.2,5118.8,62048,112345,0.0
2024-04-22,5103.8,5182.0,5046.4,5118.4,59063,110846,0.0
2024-04-23,5127.0,5157.8,5065.0,5082.8,54460,110994,0.0
2024-04-24,5116.8,5208.8,5077.6,5205.8,61305,110829,0.0
2024-04-25,5186.0,5270.8,5176.0,5214.2,60085,109272,0.0
2024-04-26,5218.0,5360.0,5218.0,5351.2,71576,110203,0.0
2024-04-29,5372.0,5528.6,5371.4,5510.2,73142,110557,0.0
2024-04-30,5510.2,5525.0,5432.4,5448.8,59732,106642,0.0
2024-05-06,5560.0,5597.2,5531.8,5548.6,57463,108078,0.0
2024-05-07,5545.0,5585.8,5533.0,5557.2,45224,106467,0.0
2024-05-08,5538.0,5538.0,5451.0,5461.2,50753,109674,0.0
